qid,text,a_text,a_blue,a_gold,a_violet,a_green,b_text,b_blue,b_gold,b_violet,b_green
Q44,最近の判断は？,"慎重",2,0,0,1,"直感的",0,0,2,1
Q45,考える目的は？,"安心したい",1,0,1,1,"前に進みたい",0,2,0,1
Q46,考え直すことは？,"多い",2,0,1,0,"少ない",0,2,0,1
Q47,未来について？,"考えすぎる",2,0,1,0,"今を見ている",0,0,1,2
Q48,選択の基準は？,"失敗しない",1,1,0,1,"納得できる",0,0,2,1
Q49,頭の疲れは？,"強い",2,0,1,0,"弱い",0,1,0,2
Q50,思考の速さは？,"速い",2,0,1,0,"ゆっくり",0,0,1,2
Q51,今の呼吸は？,"浅い",0,0,1,2,"深い",1,0,0,2
Q52,今の姿勢は？,"力が入っている",0,1,1,1,"ゆるんでいる",1,0,0,2
Q53,目の状態は？,"開きっぱなし",1,0,1,0,"自然",0,0,1,2
Q54,今の意識は？,"外に向いている",0,2,0,1,"内に向いている",2,0,1,0
Q55,今の体感は？,"忙しい",0,2,0,1,"静か",2,0,0,1
Q56,今の気分は？,"張っている",0,1,1,1,"ゆるんでいる",1,0,0,2
Q57,画面を見る感じは？,"強い",1,0,1,0,"柔らかい",0,0,1,2
Q58,今の集中は？,"一点",2,0,0,1,"拡散",0,0,1,2
Q59,今の感覚は？,"頭寄り",2,0,1,0,"体寄り",0,1,0,2
Q60,この問いへの答えは？,"考えている",2,0,1,0,"直感",0,0,2,1
Q61,最近の肩の感じは？,"重い",0,0,1,2,"軽い",1,0,0,2
Q62,予定変更があると？,"気になる",1,0,1,0,"気にしない",0,1,0,2
Q63,気分が落ちると？,"引きずる",0,0,2,1,"切り替える",1,1,0,1
Q64,考え事の内容は？,"過去が多い",2,0,1,0,"先が多い",1,1,0,1
Q65,今の意識は？,"外向き",0,2,0,1,"内向き",2,0,1,0
Q66,首の力は？,"入っている",0,1,1,1,"抜けている",1,0,0,2
Q67,やることは？,"先に片付ける",0,2,0,1,"後回し",1,0,1,0
Q68,人の感情に？,"引っ張られる",0,0,2,1,"距離を取れる",1,1,0,1
Q69,判断に使うのは？,"情報",2,0,1,0,"感覚",0,0,2,1
Q70,今この瞬間は？,"忙しい",0,2,0,1,"静か",2,0,0,1
Q71,背中の感じは？,"固い",0,0,1,2,"ゆるい",1,0,0,2
Q72,予定は？,"詰めたい",0,2,0,1,"余白が欲しい",1,0,0,2
Q73,感情の波は？,"大きい",0,0,2,1,"小さい",1,1,0,1
Q74,考える速さは？,"速い",2,0,1,0,"ゆっくり",0,0,1,2
Q75,今の体感は？,"頭中心",2,0,1,0,"体中心",0,1,0,2
Q76,呼吸は？,"浅め",0,0,1,2,"自然",1,0,0,2
Q77,作業の始め方は？,"準備から",2,1,0,0,"動きながら",0,2,0,1
Q78,気分が変わるのは？,"遅い",0,0,2,1,"早い",1,2,0,0
Q79,考えの量は？,"多い",2,0,1,0,"必要分",1,1,0,1
Q80,今の注意は？,"一点集中",2,0,0,1,"広がっている",0,0,1,2
Q81,足の感覚は？,"冷たい",0,0,1,2,"温かい",1,0,0,2
Q82,やる気が出るのは？,"締切前",0,2,0,1,"余裕がある時",1,0,0,2
Q83,感情表現は？,"控えめ",1,0,2,0,"出やすい",0,1,2,0
Q84,考えのクセは？,"慎重",2,0,0,1,"直感的",0,0,2,1
Q85,今の時間感覚は？,"早い",0,2,0,1,"ゆっくり",2,0,0,1
Q86,体の緊張は？,"ある",0,1,1,1,"少ない",1,0,0,2
Q87,予定が空くと？,"何か入れる",0,2,0,1,"そのまま",1,0,0,2
Q88,感情の処理は？,"内側",1,0,2,0,"外側",0,1,2,0
Q89,考える目的は？,"安心",1,0,1,1,"納得",2,0,0,1
Q90,今の姿勢は？,"前のめり",0,2,0,1,"安定",1,0,0,2
Q91,肩甲骨は？,"動きにくい",0,0,1,2,"動く",1,0,0,2
Q92,決断の速さは？,"遅め",2,0,1,0,"速め",0,2,0,1
Q93,感情に名前を？,"付ける",1,0,2,0,"付けない",0,1,0,2
Q94,思考の方向は？,"内向き",2,0,1,0,"外向き",0,2,0,1
Q95,今の感覚は？,"張っている",0,1,1,1,"ゆるんでいる",1,0,0,2
Q96,体を動かす頻度は？,"少ない",0,0,1,2,"多い",0,2,0,1
Q97,作業中は？,"止まりがち",2,0,1,0,"流れる",0,2,0,1
Q98,感情の回復は？,"時間がかかる",0,0,2,1,"早い",1,1,0,1
Q99,考えの整理は？,"後から",1,0,1,1,"先に",2,1,0,0
Q100,今の自分は？,"考えている",2,0,1,0,"感じている",0,0,2,1



