全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
141305,141305000021 ,神奈川県川崎市,川崎市平和館,カワサキシヘイワカン,,,1305,,,141330,,神奈川県川崎市中原区木月住吉町33-1,神奈川県,川崎市,中原区木月住吉町,,,35.56873331,139.6589639,,,044-433-0171,,,,,2110021,,,,9:00:00,17:00:00,休館日は毎週月曜日、毎月第3火曜日（設備点検日）、年末年始（12/29～1/3）。※月曜日、第3火曜日が国民の休日に当たるときは、直後の休日でない日,川崎市平和館は、「市民の平和に対する理解を深めるとともに、平和を希求する市民相互の交流及び平和活動を推進し、もって平和都市の創造と恒久平和の実現に寄与すること」を目的に設置された施設です。「平和とは、すべての人間が暴力や差別、貧困や環境破壊におびやかされず安心して生活できる」ことである」との考えのもと、平和、人権、飢餓・貧困、環境に関する啓発の場として、市民の平和交流の場として利用されています。また、平和に関する映像や情報、学習資料を提供するとともに、原爆展などの企画展を開催しています。また、平和交流の場として屋内広場や会議室を貸出しています。,可,有,,有,有,有,,可,,,有,有,有,有,不可,,可,http://www.city.kawasaki.jp/shisetsu/category/21-21-0-0-0-0-0-0-0-0.html,,,
141305,141305000022 ,神奈川県川崎市,スポーツ・文化総合センター（カルッツかわさき）,スポーツ・ブンカソウゴウセンター（カルッツカワサキ）,,,1110,,,141313,,神奈川県川崎市川崎区富士見1-1-4,神奈川県,川崎市,川崎区富士見,,,35.52970242,139.708999,,,044-222-5211,,,,,2100011,,,,9:00:00,21:30:00,休館日は偶数月の第4月曜日（祝日の場合は、翌日以降の平日）、年末年始（12/29～1/3）,大体育室、小体育室、トレーニング室、武道室、研修室があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,https://culttz.city.kawasaki.jp/,,,
141305,141305000023 ,神奈川県川崎市,かわさき市民活動センター,カワサキシミンカツドウセンター,,,1305,,,141330,,神奈川県川崎市中原区新丸子東3-1100-12パークシティ武蔵小杉ミッドスカイタワー,神奈川県,川崎市,中原区新丸子東,,,35.5746663,139.6604504,,,044-430-5641,,,,,2110004,9020005009332,,月火水木金土日,9:00:00,21:00:00,日曜・祝日、12/28、1/4は午後5時半閉館。休館日は年末年始(12/29～1/3）、施設点検日（原則第3月曜日、祝日の場合は翌日）。,川崎市における市民活動の中間支援組織として市民相互の連携を図りながら市民活動の活性化を促進するとともに、青少年の心身の健全な育成を図るため、青少年事業の推進及び地域組織への支援を行い、もって住みよい地域社会の確立に寄与することを目的としています。,可,,,有,有,有,,可,,,有,,有,有,"飲は可
食は否",,可,https://www2.kawasaki-shiminkatsudo.or.jp/volunt/,,,
141305,141305000024 ,神奈川県川崎市,川崎市アートセンター,カワサキシアートセンター,,,1012,,,141372,,神奈川県川崎市麻生区万福寺6-7-1,神奈川県,川崎市,麻生区万福寺,,,35.60597645,139.5056903,,,044-955-0107,,,,,2150004,,,,9:00:00,22:30:00,休館日は施設点検日（毎月第2月曜日※祝日の場合は、その翌日）、年末年始（12/29～1/3）,川崎市アートセンターは「しんゆり・芸術のまち」に文化振興の拠点としてオープンし、小劇場では演劇、ミュージカル、寄席、ジャズ等の公演が行われ、映像館では新作から名画まで、世界の多様な映画を上映しております。貸館も行っております。,,,,,,,,,,,,,,,,,,https://kawasaki-ac.jp/,,,
141305,141305000025 ,神奈川県川崎市,とどろきアリーナ,トドロキアリーナ,,,1110,,,141330,,神奈川県川崎市中原区等々力1-3,神奈川県,川崎市,中原区等々力,,,35.58757458,139.6473268,,,044-798-5000,,,,,2110052,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),メインアリーナ、サブアリーナ、トレーニング室、体育室、研修室があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,https://kawasaki-todoroki-park.co.jp/guide/arena/,,,
141305,141305000026 ,神奈川県川崎市,幸スポーツセンター,サイワイスポーツセンター,,,1110,,,141321,,神奈川県川崎市幸区戸手本町1-11-3,神奈川県,川崎市,幸区戸手本町,,,35.5443892,139.6863873,,,044-555-3011,,,,,2120023,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),大体育室、小体育室、トレーニング室、研修室、スタジオがあり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,"https://saiwai-sc.com/default/
",,,
141305,141305000027 ,神奈川県川崎市,高津スポーツセンター,タカツスポーツセンター,,,1110,,,141348,,神奈川県川崎市高津区ニ子3-15-1,神奈川県,川崎市,高津区ニ子,,,35.60332,139.6221308,,,044-813-6531,,,,,2130002,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),大体育室、小体育室、トレーニング室、武道室、研修室があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,http://takaspo.life/,,,
141305,141305000028 ,神奈川県川崎市,宮前スポーツセンター,ミヤマエスポーツセンター,,,1110,,,141364,,神奈川県川崎市宮前区犬蔵 1-10-3 ,神奈川県,川崎市,宮前区犬蔵 ,,,35.58969852,139.5623276,,,044-976-6350,,,,,2160011,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),大体育室、小体育室、トレーニング室、研修室があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,http://miyamae-sc.com/,,,
141305,141305000029 ,神奈川県川崎市,多摩スポーツセンター,タマスポーツセンター,,,1110,,,141356,,神奈川県川崎市多摩区菅北浦4-12-5,神奈川県,川崎市,多摩区菅北浦,,,35.62426777,139.5302376,,,044-946-6030,,,,,2140008,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),大体育室、小体育室、トレーニング室、武道室、研修室、温水プール、アーチェリー場、野球場、テニスコートがあり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,"https://www.tama-sports.net/
",,,
141305,141305000030 ,神奈川県川崎市,麻生スポーツセンター,アサオスポーツセンター,,,1110,,,141372,,神奈川県川崎市麻生区上麻生3-6-1,神奈川県,川崎市,麻生区上麻生,,,35.60013826,139.5050835,,,044-951-1234,,,,,2150021,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),大体育室、小体育室、トレーニング室、武道室、研修室があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,"https://www.asao-sports.com/
",,,
141305,141305000031 ,神奈川県川崎市,石川記念武道館,イシカワキネンブドウカン,,,1113,,,141321,,神奈川県川崎市幸区下平間357,神奈川県,川崎市,幸区下平間,,,35.54868998,139.6858684,,,044-544-0493,,,,,2120053,,,,9:00:00,21:30:00,休館日は年末年始（12/29～1/3）、施設点検日(原則第4月曜日),剣道場、柔道場があり、スポーツデーやスポーツ教室等の個人利用と団体利用ができる施設です。,,,,,,,,,,,,,,,,,,"https://ishikawakinenbudokan.com/default/
",,,
141305,141305000032 ,神奈川県川崎市,アートガーデンかわさき特別展示室（川崎浮世絵ギャラリー）,アートガーデンカワサキトクベツテンジシツ（カワサキウキヨエギャラリー）,,,802,,,141313,,神奈川県川崎市川崎区駅前本町12-1川崎駅前タワー・リバーク3階,神奈川県,川崎市,川崎区駅前本町,,,35.53202051,139.6986181,,,044-280-9511,,,,,2100007,,,,11:00:00,18:00:00,休館日は月曜日、年末年始（12/29～1/3）、展示替の期間,公益社団法人川崎・砂子の里資料館が保有する豊富なコレクションから、企画展ごとに選ばれた50点以上の浮世絵を展示する施設です。,可,有,,有,,,,,,,,有,,有,否,,可,https://ukiyo-e.gallery/,,,入館は18:15まで。入館料500円(高校生以下、障がいのある方と介助者1名無料)
141305,141305000033 ,神奈川県川崎市,小黒恵子童謡記念館,オグロケイコドウヨウキネンカン,Keiko Oguro children's song museum,,803,,,141348,,神奈川県川崎市高津区諏訪3-13-8,神奈川県,川崎市,高津区諏訪,,,35.6021267065971,139.62604845231775,,,044-381-3490,,,,,2130004,,,,10:00:00,17:00:00,休館日は火曜日、水曜日、金曜日、土曜日、年末年始,詩人・童謡作家の小黒恵子の作品展示や、コンサート等イベントの開催の他、音楽やアート活動のための貸室も行っている記念館です。,可,,,有,,,,可,,可,,,有,有,否,,可,https://xn--i8s3qt0huor17hbct8ub4z7cxwk.jp/,,,・大人：200円、小学生以上18歳以下：100円
141305,141305000034 ,神奈川県川崎市,川崎市労働資料室,カワサキシロウドウシリョウシツ,,,1306,,,141313,,神奈川県川崎市川崎区富士見2-1-3,神奈川県,川崎市,川崎区富士見,,,35.52879235,139.7077861,,,070-4226-3857,,,,,2100011,,,,9:00:00,17:00:00,休館日は第3月曜日（祝日にあたる場合はその直後の平日）、年末年始（12/29～1/3）、施設点検日,"労働に関する図書をはじめ、雑誌、新聞、機関誌（紙）、各調査資料など約41,000点を揃え、労使間の諸問題や勤労者の福祉の向上を図る調査・研究など労働問題について、勤労市民、経営者、研究者、一般市民のさまざまな活動に役立つよう設立された専門図書館である。",,,,,,,,,,,,,,,,,,https://www.city.kawasaki.jp/280/page/0000148830.html,,,・令和5年8月30日から教育文化会館の1階に仮移転し、運営を再開しています。
141305,141305000035 ,神奈川県川崎市,川崎市産業振興会館,カワサキシサンギョウシンコウカイカン,,産振会館,1306,,,141321,,神奈川県川崎市幸区堀川町66-20,神奈川県,川崎市,幸区堀川町,,,35.53530675,139.7009375,,,044-548-4111,,,,,2120013,,,,9:00:00,21:00:00,休館日は年末年始（12/29～1/3）、設備点検日,　経済の国際化、高度情報化、技術革新等による産業構造の変化に対応するため、企業間における情報交流、企業の技術開発、販路開拓事業の推進等を図り、もって本市産業の発展と地域経済の活性化に寄与することを目的に設立された会館です。,可,無,無,有,エレベーター,有,階段手すり,可,,,有,有,無,有,要：会館職員の許可,無,可,https://kawasaki-sanshinkaikan.jp/,,,
141305,141305000036 ,神奈川県川崎市,川崎市生活文化会館,カワサキシセイカツブンカカイカン,,てくのかわさき,1306,,,141348,,神奈川県川崎市高津区溝口1-6-10,神奈川県,川崎市,高津区溝口,,,35.59880831,139.6140074,,,044-812-1090　　　　　,,,,,2130001,,,月～日,8:30:00,22:00:00,休館日は年末年始（12/29～1/3）、設備点検日。受付8:30～20:00、利用9:00～22:00。,市内技術・技能職者の拠点として、生活に根差した技能について、技能職者が相互の交流及び技能水準の向上を図り、後継者の育成に努めるとともに、市民が多目的に使用し、技能職者と親しく交流しながら技術・技能への理解を深め、もって技能を尊重する社会の形成及びその振興に寄与することを目的として開館しました。,可,有（１台）,無,有,有,1・2・3階のみ,,可,,可,有,有,無,有,可（軽食のみ）,無,可,https://www.zai-roudoufukushi-kanagawa.or.jp/tekuno.html,,,
141305,141305000037 ,神奈川県川崎市,川崎市コンベンションホール,カワサキシコンベンションホール,KAWASAKI CONVENTION HALL,,1016,,,141330,,神奈川県川崎市中原区小杉町2-276-1パークシティ武蔵小杉　ザ　ガーデン　タワーズイースト２階,神奈川県,川崎市,中原区小杉町,,,35.57769464,139.6568807,,,044-455-6340,,info@kawasakicity-ch.jp,,,2110063,,,日月火水木金土,9:00:00,22:00:00,休館日は年末年始（12/29～1/3）,国際会議や学術会議、講演会、式典、展示会、イベント、パーティ等、多種多様に利用できる多目的ホール,可,有,無,有,有,無,無,可,無,,無,無,無,無,可,無,有,http://www.kawasakicity-ch.jp/,,,おむつ替えコーナーはありませんが、誰でもトイレ内におむつ交換台はございます。
141305,141305000038 ,神奈川県川崎市,川崎競輪場,カワサキケイリンジョウ,,,1019,,,141313,,神奈川県川崎市川崎区富士見2-1-6,神奈川県,川崎市,川崎区富士見,,,35.52909145,139.7103695,,,044-233-5501,,,,,2100011,,,,,,"利用可能時間は9:00～16:00（前売投票所のみ）、7:20～17:00（場内は10:00～）、7:20～21:00（場内は10:00～）。
休館日は開催により異なりますのでホームページから確認してください。",川崎競輪の観戦・投票の他、他場の競輪の観戦・投票を行うことができます。また、場内にはKKP（BMX＆スケートボードパーク）がございます。,,,,,,,,,,,,,,,,,,http://www.kawasakikeirin.com/pc/index.html,,,
141305,141305000039 ,神奈川県川崎市,川崎市中央卸売市場北部市場,カワサキシチュウオウオロシウリシジョウホクブシジョウ,,,4007,,,141364,,神奈川県川崎市宮前区水沢1-1-1,神奈川県,川崎市,宮前区水沢,,,35.5911081,139.54955,,,044-975-2211,,,,,2168522,,,,,,"利用可能時間は店舗によって異なります。
休市日は青果部・水産部・関連事業者・花き部ごとに異なるため、ホームページの市場カレンダーから確認してください。",卸売市場は、食生活に欠かすことのできない野菜や果物、魚介類などの生鮮食料品等を、安全・安心、適正な価格で安定的に供給している、食の流通拠点です。北部市場は、消費地に立地していることや、東名高速道路のインターチェンジから近いといった立地条件に恵まれた中央卸売市場であり、この特性を活かして、市民の食生活を支えています。,可,有,無,有,"スロープ、エレベータ有
エスカレータ無",無,無,無,無,無,有,無,無,有,可,無,有,http://www.city.kawasaki.jp/shisetsu/category/46-2-0-0-0-0-0-0-0-0.html,,,
141305,141305000040 ,神奈川県川崎市,川崎市地方卸売市場南部市場,カワサキシチホウオロシウリシジョウナンブシジョウ,,,4007,,,141321,,神奈川県川崎市幸区南幸町3-126-1,神奈川県,川崎市,幸区南幸町,,,35.53426345,139.6856269,,,044-543-5271,,,,,2120016,,,,,,"利用可能時間は店舗によって異なります。
休市日は青果部・水産部・関連事業者・花き部ごとに異なるため、ホームページの市場カレンダーから確認してください。",卸売市場は、食生活に欠かすことのできない野菜や果物、魚介類などの生鮮食料品等を、安全・安心、適正な価格で安定的に供給している、食の流通拠点です。南部市場は、川崎の中心市街地に近い立地特性を活かし、市民の食生活を支えるとともに、食文化等の発信を行っています。,可,無,無,無,無,無,無,無,無,無,有,無,無,有,可,無,有,http://www.city.kawasaki.jp/shisetsu/category/46-3-0-0-0-0-0-0-0-0.html,,,
